user,updated_at,created_at,closed_at,issue_title,issue_number
el5846,2020-04-12T04:57:22Z,2020-04-12T01:14:29Z,2020-04-12T04:57:22Z,doc: updated directory entry information,32791
juanarbol,2020-04-12T00:53:30Z,2020-04-12T00:09:36Z,,lib: expose performance interface to global,32790
cjihrig,2020-04-11T22:03:05Z,2020-04-11T20:09:46Z,,http: return this from IncomingMessage#destroy(),32789
cjihrig,2020-04-11T22:08:47Z,2020-04-11T19:20:30Z,,doc: add transform stream destroy() return value,32788
addaleax,2020-04-12T02:22:54Z,2020-04-11T18:54:04Z,,build: add configure flag to build V8 with DCHECKs,32787
rickyes,2020-04-12T03:21:43Z,2020-04-11T18:12:52Z,,tls: connect supports highWaterMark option,32786
lirantal,2020-04-11T14:20:44Z,2020-04-11T14:03:12Z,,doc: improve WHATWG url constructor code example,32782
thunderol,2020-04-11T12:16:47Z,2020-04-11T11:31:19Z,,highWaterMark option is ignored in HTTPs request stream,32781
ronag,2020-04-12T00:21:08Z,2020-04-11T11:21:46Z,,stream: fix _final and 'prefinish' timing,32780
JesuHrz,2020-04-11T18:58:59Z,2020-04-11T04:41:22Z,,src: removes unused v8::Integer and v8::Array namespace,32779
jasnell,2020-04-11T19:24:09Z,2020-04-11T03:21:53Z,,src: add AliasedStruct utility,32778
mmarchini,2020-04-11T19:33:33Z,2020-04-11T01:41:53Z,,build: re-enable ASAN Action using clang,32776
mmarchini,2020-04-11T06:16:06Z,2020-04-11T01:19:32Z,,New label suggestion: `ci-actions`,32775
mmarchini,2020-04-11T13:37:51Z,2020-04-10T22:05:15Z,,[V8 canary] test: add required flag to FinalizationGroup test,32773
LongTengDao,2020-04-10T21:04:53Z,2020-04-10T21:01:38Z,,"IncommingMessage extends Readable, but it's destroy method not return this",32772
edsadr,2020-04-10T21:21:44Z,2020-04-10T20:06:42Z,,test:  better error validations for event-capture,32771
Flarna,2020-04-11T22:23:50Z,2020-04-10T18:39:24Z,,buffer: add type check in bidirectionalIndexOf,32770
edsadr,2020-04-11T20:52:14Z,2020-04-10T18:09:49Z,,test: refactor events  tests for invalid listeners,32769
BethGriggs,2020-04-10T21:28:26Z,2020-04-10T17:10:36Z,,2020-04-10 Node.js v10.20.1 'Dubnium' (LTS) Release,32768
ronag,2020-04-10T18:55:34Z,2020-04-10T17:03:35Z,,doc: add link to code ide configs,32767
HarshithaKP,2020-04-11T05:21:22Z,2020-04-10T16:25:55Z,,test: elevate common http sequences to common,32766
ArchangeGabriel,2020-04-10T16:17:48Z,2020-04-10T16:17:48Z,,Erbium: test regression in tarball,32765
ronag,2020-04-12T00:22:01Z,2020-04-10T15:19:04Z,,stream: simplify Transform stream implementation,32763
